2023 Zip Code Viral Suppression Data - AIDSVu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For additional information regarding this dataset, please see the Data Methods by clicking this row or by visiting https://aidsvu.org/data-methods/data-methods-city-level/.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,City,"City
Name","Zip
Code","ZIP
Code
Percent","ZIP
Code
Cases","Male
Percent","Male
Cases","Male Case
Denominator","Female
Percent","Female
Cases","Female Case
Denominator","Black
Percent","Black
Cases","Black Case
Denominator","White
Percent","White
Cases","White Case
Denominator","Hispanic
Percent","Hispanic
Cases","Hispanic
Case
Denominator","Age
13-24
Percent","Age
13-24
Cases","Age 13-24
Case
Denominator","Age
25-44
Percent","Age
25-44
Cases","Age 25-44
Case
Denominator","Age
45-59
Percent","Age
45-59
Cases","Age 45-59
Case
Denominator","Age
60+
Percent","Age
60+
Cases","Age 60+
Case
Denominator"
2023,NewYork,"New
York
City",11365,66.1,78,64.4,47,73,68.9,31,45,68.6,35,51,72.2,13,18,61.8,21,34,0,0,-1,73,27,37,62.9,22,35,64.4,29,45
2023,NewYork,"New
York
City",11366,45.5,15,43.5,10,23,50,5,10,35.7,5,14,0,0,-1,58.3,7,12,-8,0,0,-1,-1,10,56.3,9,16,-1,-1,7
2023,NewYork,"New
York
City",11367,60,75,53.2,42,79,71.7,33,46,63.8,30,47,54.5,12,22,57.4,27,47,-1,-1,-1,62.5,20,32,57.5,23,40,58.8,30,51
2023,NewYork,"New
York
City",11368,61,517,62.2,418,672,56.6,99,175,63.3,105,166,56.8,21,37,59.9,365,609,56,14,25,64,199,311,61.2,183,299,57.1,121,212
2023,NewYork,"New
York
City",11369,58.7,185,65,152,234,40.7,33,81,44,33,75,72.2,13,18,62,129,208,-1,-1,5,63.4,64,101,61.8,68,110,51.5,51,99
2023,NewYork,"New
York
City",11370,24.9,368,27.2,326,1198,15,42,280,21.2,154,727,27.9,29,104,25.8,156,604,61.1,11,18,42.9,178,415,22.6,120,531,11.5,59,514
2023,NewYork,"New
York
City",11372,65.7,659,66.3,624,941,56.5,35,62,66.7,46,69,69.2,83,120,64.7,488,754,-1,-1,7,66.8,195,292,67.5,266,394,62.6,194,310
2023,NewYork,"New
York
City",11373,59.4,469,60.1,422,702,54,47,87,39.5,17,43,58,29,50,58.5,318,544,54.5,6,11,66,177,268,61.9,164,265,49.8,122,245
2023,NewYork,"New
York
City",11374,68.6,199,70.1,176,251,59,23,39,67.4,31,46,63.1,41,65,68.8,99,144,-1,-1,5,77,67,87,62.9,61,97,66.3,67,101
2023,NewYork,"New
York
City",11375,71.8,229,73.6,198,269,62,31,50,71.9,41,57,72.3,73,101,70.7,94,133,-8,0,0,72.3,60,83,73.4,80,109,70.1,89,127
2023,NewYork,"New
York
City",11377,68.6,467,67.6,404,598,75.9,63,83,71.6,58,81,72.5,66,91,67,276,412,60,6,10,73.4,182,248,69.7,159,228,61.5,120,195
2023,NewYork,"New
York
City",11378,68.4,106,65.6,84,128,81.5,22,27,-1,-1,-1,64.3,27,42,71.7,66,92,-1,-1,-1,70.7,41,58,77.3,34,44,58.8,30,51
2023,NewYork,"New
York
City",11379,71.6,96,71.8,79,110,70.8,17,24,-1,-1,-1,72.5,37,51,70.7,41,58,-8,0,0,71.4,25,35,72.5,37,51,70.8,34,48
2023,NewYork,"New
York
City",11385,69.7,381,71.6,293,409,63.8,88,138,56.8,42,74,68.9,71,103,72.6,249,343,77.8,7,9,70.5,165,234,71.9,115,160,65.3,94,144
2023,NewYork,"New
York
City",11411,58.9,89,62.7,52,83,54.4,37,68,61.7,74,120,-1,-1,-1,35.7,5,14,-8,0,0,53.3,16,30,63.5,40,63,56.9,33,58
2023,NewYork,"New
York
City",11412,62.5,237,63.1,147,233,61.6,90,146,60.5,193,319,-1,-1,-1,75.7,28,37,87.5,7,8,63.3,69,109,64.2,77,120,59.2,84,142
2023,NewYork,"New
York
City",11413,66.4,237,61.9,122,197,71.9,115,160,66.1,203,307,-1,-1,6,71.9,23,32,85.7,6,7,59.8,61,102,72.6,98,135,63.7,72,113
2023,NewYork,"New
York
City",11414,67.6,73,62.8,49,78,80,24,30,60.9,14,23,51.5,17,33,81.6,40,49,-8,0,0,64.3,18,28,70.3,26,37,67.4,29,43
2023,NewYork,"New
York
City",11415,70.9,168,68.6,144,210,88.9,24,27,73,27,37,67.6,46,68,71.2,79,111,-1,-1,-1,69.1,47,68,75,69,92,67.1,51,76
2023,NewYork,"New
York
City",11416,71.5,138,72.2,96,133,70,42,60,73.7,28,38,78.6,11,14,73.6,89,121,-1,-1,-1,73.9,51,69,75,57,76,63,29,46
2023,NewYork,"New
York
City",11417,74.9,134,73.9,88,119,76.7,46,60,70.4,19,27,82.8,24,29,72,72,100,-1,-1,-1,81.1,43,53,75,42,56,70.6,48,68
2023,NewYork,"New
York
City",11418,70.6,197,71.1,155,218,68.9,42,61,59.6,34,57,62.5,20,32,71.9,110,153,-1,-1,-1,73.3,77,105,71.6,68,95,66.2,51,77
2023,NewYork,"New
York
City",11419,66.5,163,64,103,161,71.4,60,84,70.1,54,77,-1,-1,11,62.7,47,75,-1,-1,-1,59.8,52,87,70.9,61,86,70.6,48,68
2023,NewYork,"New
York
City",11420,60.5,155,60.5,107,177,60.8,48,79,52.9,63,119,-1,-1,5,65.7,46,70,-1,-1,-1,58.5,48,82,73.9,65,88,47,39,83
2023,NewYork,"New
York
City",11421,71.3,244,73.1,196,268,64.9,48,74,77.2,44,57,45,9,20,70.8,170,240,-1,-1,-1,68.8,77,112,78.4,91,116,67.3,74,110
2023,NewYork,"New
York
City",11422,67.3,140,67.8,78,115,66.7,62,93,65.9,116,176,83.3,5,6,72.2,13,18,-1,-1,-1,73.6,39,53,69.3,52,75,61,47,77
2023,NewYork,"New
York
City",11423,63.4,192,64.9,113,174,61.2,79,129,60.4,119,197,60,6,10,67.6,46,68,-1,-1,-1,61.2,41,67,64.5,69,107,63.5,80,126
2023,NewYork,"New
York
City",11426,64.5,20,61.9,13,21,70,7,10,62.5,5,8,85.7,6,7,-1,-1,7,-8,0,0,75,6,8,70,7,10,53.8,7,13
2023,NewYork,"New
York
City",11427,65.8,73,64.2,43,67,68.2,30,44,65,39,60,58.3,7,12,65.4,17,26,0,0,-1,61.9,13,21,61.8,21,34,70.9,39,55
2023,NewYork,"New
York
City",11428,61.4,54,61.1,33,54,61.8,21,34,66.7,32,48,-1,-1,-1,51.9,14,27,-8,0,0,60,12,20,56.7,17,30,65.8,25,38
2023,NewYork,"New
York
City",11429,63.6,136,62.6,82,131,65.1,54,83,61.3,103,168,-1,-1,-1,71.4,20,28,-1,-1,-1,70.4,38,54,66.7,44,66,56.7,51,90
2023,NewYork,"New
York
City",11430,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023,NewYork,"New
York
City",11432,56.1,372,55.2,279,505,58.9,93,158,57.7,180,312,50,26,52,54.8,138,252,56.3,9,16,55.5,122,220,58.5,110,188,54.8,131,239
2023,NewYork,"New
York
City",11433,66.8,237,67.2,135,201,66.2,102,154,66.8,183,274,-1,-1,-1,61.3,38,62,-1,-1,5,64.3,72,112,68.8,66,96,67.6,96,142
2023,NewYork,"New
York
City",11434,63.8,399,62.8,231,368,65.4,168,257,64.2,342,533,50,5,10,60.7,37,61,41.7,5,12,61,100,164,63.8,127,199,66.8,167,250
2023,NewYork,"New
York
City",11435,62.4,277,62.8,206,328,61.2,71,116,59.8,122,204,61.9,26,42,65.2,105,161,83.3,5,6,64.1,98,153,60.9,81,133,61.2,93,152
